区分,一般名コード,一般名処方の標準的な記載,成分名,規格,一般名処方加算対象,例外コード,同一剤形・規格内の最低薬価,備考,薬価基準収載医薬品コード_例外コード,品名_例外コード,備考_例外コード
内用薬,2149045F2ZZZ,【般】エプレレノン錠５０ｍｇ,エプレレノン,５０ｍｇ１錠,"加算1,2",,21.2,,,,
内用薬,2149045F3ZZZ,【般】エプレレノン錠１００ｍｇ,エプレレノン,１００ｍｇ１錠,"加算1,2",,41.4,,,,
内用薬,2149046F1ZZZ,【般】イルベサルタン錠５０ｍｇ,イルベサルタン,５０ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,2149046F2ZZZ,【般】イルベサルタン錠１００ｍｇ,イルベサルタン,１００ｍｇ１錠,"加算1,2",,11.4,,,,
内用薬,2149046F3ZZZ,【般】イルベサルタン錠２００ｍｇ,イルベサルタン,２００ｍｇ１錠,"加算1,2",,15.3,,,,
内用薬,2149046F4ZZZ,【般】イルベサルタン口腔内崩壊錠５０ｍｇ,イルベサルタン,５０ｍｇ１錠,加算1,,10.4,該当する後発品の経過措置期限が令和８年３月３１日であることから、同年４月１日以降は一般名処方マスタから削除される予定,,,
内用薬,2149046F5ZZZ,【般】イルベサルタン口腔内崩壊錠１００ｍｇ,イルベサルタン,１００ｍｇ１錠,加算1,,11.4,該当する後発品の経過措置期限が令和８年３月３１日であることから、同年４月１日以降は一般名処方マスタから削除される予定,,,
内用薬,2149046F6ZZZ,【般】イルベサルタン口腔内崩壊錠２００ｍｇ,イルベサルタン,２００ｍｇ１錠,加算1,,15.3,該当する後発品の経過措置期限が令和８年３月３１日であることから、同年４月１日以降は一般名処方マスタから削除される予定,,,
内用薬,2149048F1ZZZ,【般】アジルサルタン錠２０ｍｇ,アジルサルタン,２０ｍｇ１錠,"加算1,2",,27.4,,,,
内用薬,2149048F2ZZZ,【般】アジルサルタン錠４０ｍｇ,アジルサルタン,４０ｍｇ１錠,"加算1,2",,40.9,,,,
内用薬,2149048F3ZZZ,【般】アジルサルタン錠１０ｍｇ,アジルサルタン,１０ｍｇ１錠,"加算1,2",,18.2,,,,
